Category, old, new, diff
Date, 20130402, 20130408, 20130408, 

# Accessions, 19782, 21764, 1982, 

# Samples, 2136, 2657, 521, 

# Samples greater than 5Gb, 2001, 2581, 580, 

# Samples gt 5Gb by pop, 
ACB, 79, 93, 14, 
ASW, 63, 69, 6, 
BEB, 1, 69, 68, 
CDX, 98, 103, 5, 
CEU, 102, 102, 0, 
CHB, 102, 107, 5, 
CHS, 109, 110, 1, 
CLM, 68, 97, 29, 
ESN, 38, 102, 64, 
FIN, 93, 98, 5, 
GBR, 99, 100, 1, 
GIH, 103, 109, 6, 
GWD, 79, 108, 29, 
IBS, 104, 108, 4, 
ITU, 5, 104, 99, 
JPT, 100, 105, 5, 
KHV, 100, 101, 1, 
LWK, 110, 115, 5, 
MSL, 28, 91, 63, 
MXL, 71, 73, 2, 
PEL, 73, 86, 13, 
PJL, 44, 101, 57, 
PUR, 73, 104, 31, 
STU, 55, 104, 49, 
TSI, 102, 112, 10, 
YRI, 102, 110, 8, 
total, 2001, 2581, 580, 


Population in Gb, 
ACB, 1168.70, 1330.38, 161.68, 
ASW, 798.92, 880.22, 81.3000000000001, 
BEB, 39.87, 767.65, 727.78, 
CDX, 1350.85, 1424.93, 74.0800000000002, 
CEU, 1616.06, 1624.86, 8.79999999999995, 
CHB, 1471.61, 1506.91, 35.3000000000002, 
CHS, 1177.96, 1182.13, 4.17000000000007, 
CLM, 897.57, 1281.62, 384.05, 
ESN, 291.75, 1086.95, 795.2, 
FIN, 1157.26, 1199.79, 42.53, 
GBR, 1509.18, 1524.14, 14.96, 
GIH, 1348.72, 1430.64, 81.9200000000001, 
GWD, 753.50, 1109.35, 355.85, 
IBS, 1992.88, 2035.55, 42.6699999999998, 
ITU, 86.39, 886.49, 800.1, 
JPT, 1525.09, 1598.54, 73.45, 
KHV, 1801.37, 1807.18, 5.81000000000017, 
LWK, 1740.57, 1811.68, 71.1100000000001, 
MSL, 279.01, 987.81, 708.8, 
MXL, 780.12, 802.35, 22.23, 
PEL, 1398.39, 1539.37, 140.98, 
PJL, 364.27, 1014.44, 650.17, 
PUR, 1050.66, 1290.29, 239.63, 
STU, 383.88, 930.59, 546.71, 
TSI, 1509.74, 1618.20, 108.46, 
YRI, 1490.04, 1600.02, 109.98, 
total, 27984.37, 34272.06, 6287.69, 


Platform in Gb, 
ABI_SOLID, 7949.63, 7949.63, 0, 
ILLUMINA, 20034.74, 26322.43, 6287.69, 
total, 27984.37, 34272.06, 6287.69, 


Center in Gb, 
BCM, 10571.39, 10571.39, 0, 
BGI, 5529.07, 10492.94, 4963.87, 
BI, 7596.11, 7931.28, 335.17, 
WUGSC, 4287.81, 5276.45, 988.639999999999, 
total, 27984.37, 34272.06, 6287.69, 


