Category, old, new, diff
Date, 20130305, 20130311, 20130311, 

# Accessions, 17365, 17544, 179, 

# Samples, 1881, 1882, 1, 

# Samples greater than 10Gb, 1220, 1221, 1, 

# Samples gt 10Gb by pop, 
ACB, 43, 43, 0, 
ASW, 27, 27, 0, 
CDX, 83, 83, 0, 
CEU, 86, 86, 0, 
CHB, 75, 75, 0, 
CHS, 45, 45, 0, 
CLM, 43, 43, 0, 
ESN, 1, 1, 0, 
FIN, 49, 49, 0, 
GBR, 78, 78, 0, 
GIH, 45, 46, 1, 
GWD, 3, 3, 0, 
IBS, 88, 88, 0, 
JPT, 82, 82, 0, 
KHV, 73, 73, 0, 
LWK, 93, 93, 0, 
MSL, 1, 1, 0, 
MXL, 32, 32, 0, 
PEL, 53, 53, 0, 
PUR, 59, 59, 0, 
TSI, 77, 77, 0, 
YRI, 84, 84, 0, 
total, 1220, 1221, 1, 


Population in Gb, 
ACB, 1134.15, 1144.65, 10.5, 
ASW, 769.85, 788.92, 19.0699999999999, 
CDX, 1328.04, 1350.85, 22.8099999999999, 
CEU, 1533.73, 1622.95, 89.22, 
CHB, 1355.31, 1449.26, 93.95, 
CHS, 1131.31, 1167.56, 36.25, 
CLM, 817.04, 897.57, 80.5300000000001, 
ESN, 166.20, 166.20, 0, 
FIN, 1077.81, 1155.58, 77.77, 
GBR, 1408.82, 1513.01, 104.19, 
GIH, 1233.99, 1328.74, 94.75, 
GWD, 631.95, 631.95, 0, 
IBS, 1849.33, 1945.50, 96.1700000000001, 
JPT, 1458.65, 1517.49, 58.8399999999999, 
KHV, 1781.66, 1788.84, 7.17999999999984, 
LWK, 1676.00, 1727.95, 51.95, 
MSL, 118.81, 118.81, 0, 
MXL, 771.63, 780.12, 8.49000000000001, 
PEL, 1362.33, 1368.00, 5.67000000000007, 
PJL, 227.87, 227.87, 0, 
PUR, 983.63, 983.63, 0, 
TSI, 1331.67, 1504.03, 172.36, 
YRI, 1415.20, 1446.91, 31.71, 
total, 25564.99, 26626.37, 1061.38, 


Platform in Gb, 
ABI_SOLID, 7949.63, 7949.63, 0, 
ILLUMINA, 17615.36, 18676.73, 1061.37, 
total, 25564.99, 26626.37, 1061.38, 


Center in Gb, 
BCM, 9450.71, 10512.08, 1061.37, 
BGI, 5529.07, 5529.07, 0, 
BI, 6927.41, 6927.41, 0, 
WUGSC, 3657.80, 3657.80, 0, 
total, 25564.99, 26626.37, 1061.38, 


