Category, old, new, diff
Date, 20130218, 20130305, 20130306, 

# Accessions, 25605, 25820, 215, 

# Samples, 2186, 2187, 1, 

# Samples greater than 10Gb, 2151, 2152, 1, 

Population in Gb, 
ACB, 2406.58, 2513.79, 107.21, 
ASW, 1680.30, 1727.69, 47.3900000000001, 
BEB, 968.30, 968.30, 0, 
CDX, 1757.25, 1757.25, 0, 
CEU, 2597.02, 2725.25, 128.23, 
CHB, 2082.15, 2316.43, 234.28, 
CHS, 2027.23, 2027.23, 0, 
CLM, 2247.59, 2297.33, 49.7399999999998, 
ESN, 1588.36, 1588.36, 0, 
FIN, 2164.09, 2257.17, 93.0799999999999, 
GBR, 2627.29, 2818.44, 191.15, 
GIH, 2534.40, 2637.68, 103.28, 
GWD, 3014.09, 3034.65, 20.5599999999999, 
IBS, 2751.32, 2960.27, 208.95, 
ITU, 752.05, 752.05, 0, 
JPT, 3079.59, 3314.20, 234.61, 
KHV, 2954.13, 3294.72, 340.59, 
LWK, 2688.60, 2882.37, 193.77, 
MSL, 1636.72, 1636.72, 0, 
MXL, 1824.72, 1876.21, 51.49, 
PEL, 2316.21, 2596.13, 279.92, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1874.03, 1874.03, 0, 
STU, 924.82, 924.82, 0, 
TSI, 1619.48, 1619.48, 0, 
YRI, 2744.28, 2881.21, 136.93, 
total, 53963.69, 56384.85, 2421.16, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 42208.86, 44630.02, 2421.16, 
LS454, 187.06, 187.06, 0, 
total, 53963.69, 56384.85, 2421.16, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 8750.76, 10905.41, 2154.65, 
BGI, 7723.97, 7723.97, 0, 
BI, 14225.82, 14246.38, 20.5599999999995, 
ILLUMINA, 1599.96, 1599.96, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 3980.99, 4226.93, 245.940000000001, 
SC, 13405.63, 13405.63, 0, 
WUGSC, 4180.01, 4180.01, 0, 
mpimg, 17.65, 17.65, 0, 
total, 53963.69, 56384.85, 2421.16, 


