Category, old, new, diff
Date, 20130408, 20130415, 20130415, 

# Accessions, 20759, 20882, 123, 

# Samples, 2561, 2577, 16, 

# Samples greater than 5Gb, 2460, 2506, 46, 

# Samples gt 5Gb by pop, 
ACB, 91, 92, 1, 
ASW, 64, 65, 1, 
BEB, 69, 82, 13, 
CDX, 98, 101, 3, 
CEU, 97, 97, 0, 
CHB, 105, 106, 1, 
CHS, 108, 108, 0, 
CLM, 96, 102, 6, 
ESN, 102, 109, 7, 
FIN, 95, 95, 0, 
GBR, 99, 101, 2, 
GIH, 107, 107, 0, 
GWD, 108, 109, 1, 
IBS, 108, 108, 0, 
ITU, 104, 111, 7, 
JPT, 101, 101, 0, 
KHV, 100, 100, 0, 
LWK, 62, 62, 0, 
MSL, 91, 91, 0, 
MXL, 64, 64, 0, 
PEL, 84, 84, 0, 
PJL, 101, 101, 0, 
PUR, 104, 105, 1, 
STU, 104, 107, 3, 
TSI, 95, 95, 0, 
YRI, 103, 103, 0, 
total, 2460, 2506, 46, 


Population in Gb, 
ACB, 944.75, 948.21, 3.46000000000004, 
ASW, 702.57, 706.55, 3.9799999999999, 
BEB, 767.65, 919.82, 152.17, 
CDX, 1060.18, 1073.93, 13.75, 
CEU, 1053.72, 1053.72, 0, 
CHB, 1093.41, 1096.51, 3.09999999999991, 
CHS, 1026.08, 1026.08, 0, 
CLM, 964.49, 987.32, 22.83, 
ESN, 1086.95, 1122.77, 35.8199999999999, 
FIN, 910.40, 910.40, 0, 
GBR, 1043.85, 1051.41, 7.56000000000017, 
GIH, 1014.70, 1014.70, 0, 
GWD, 1109.35, 1111.28, 1.93000000000006, 
IBS, 1245.38, 1245.38, 0, 
ITU, 886.49, 1056.80, 170.31, 
JPT, 1222.05, 1222.05, 0, 
KHV, 1342.15, 1342.15, 0, 
LWK, 628.07, 628.65, 0.579999999999927, 
MSL, 987.81, 987.81, 0, 
MXL, 623.31, 623.31, 0, 
PEL, 1065.41, 1065.41, 0, 
PJL, 1014.03, 1016.07, 2.04000000000008, 
PUR, 1290.29, 1293.98, 3.69000000000005, 
STU, 930.59, 1011.69, 81.1, 
TSI, 1013.29, 1013.29, 0, 
YRI, 1295.05, 1295.05, 0, 
total, 26322.02, 26824.36, 502.34, 


Platform in Gb, 
ILLUMINA, 26322.02, 26824.36, 502.34, 
total, 26322.02, 26824.36, 502.34, 


Center in Gb, 
BCM, 2621.76, 2621.76, 0, 
BGI, 10492.54, 10823.32, 330.779999999999, 
BI, 7931.28, 7943.70, 12.4200000000001, 
WUGSC, 5276.45, 5435.58, 159.13, 
total, 26322.02, 26824.36, 502.34, 


