Category, old, new, diff
Date, 20130319, 20130325, 20130325, 

# Accessions, 17516, 18215, 699, 

# Samples, 1880, 1921, 41, 

# Samples greater than 5Gb, 1867, 1898, 31, 

# Samples gt 5Gb by pop, 
ACB, 79, 79, 0, 
ASW, 62, 62, 0, 
CDX, 98, 98, 0, 
CEU, 102, 102, 0, 
CHB, 100, 100, 0, 
CHS, 108, 108, 0, 
CLM, 68, 68, 0, 
ESN, 20, 38, 18, 
FIN, 93, 93, 0, 
GBR, 99, 99, 0, 
GIH, 103, 103, 0, 
GWD, 70, 70, 0, 
IBS, 100, 100, 0, 
JPT, 100, 100, 0, 
KHV, 100, 100, 0, 
LWK, 107, 107, 0, 
MSL, 14, 27, 13, 
MXL, 71, 71, 0, 
PEL, 70, 70, 0, 
PJL, 30, 30, 0, 
PUR, 70, 70, 0, 
TSI, 101, 101, 0, 
YRI, 102, 102, 0, 
total, 1867, 1898, 31, 


Population in Gb, 
ACB, 1157.47, 1157.47, 0, 
ASW, 788.92, 788.92, 0, 
CDX, 1350.85, 1350.85, 0, 
CEU, 1616.06, 1616.06, 0, 
CHB, 1449.26, 1449.26, 0, 
CHS, 1167.56, 1167.56, 0, 
CLM, 897.57, 897.57, 0, 
ESN, 166.20, 270.71, 104.51, 
FIN, 1153.74, 1153.74, 0, 
GBR, 1509.18, 1509.18, 0, 
GIH, 1348.72, 1348.72, 0, 
GWD, 631.95, 631.95, 0, 
IBS, 1965.29, 1965.29, 0, 
JPT, 1521.64, 1521.64, 0, 
KHV, 1797.20, 1797.20, 0, 
LWK, 1722.45, 1722.45, 0, 
MSL, 118.81, 231.02, 112.21, 
MXL, 780.12, 780.12, 0, 
PEL, 1368.00, 1368.00, 0, 
PJL, 227.87, 227.87, 0, 
PUR, 983.63, 983.63, 0, 
TSI, 1497.61, 1497.61, 0, 
YRI, 1452.05, 1452.05, 0, 
total, 26672.14, 26888.87, 216.73, 


Platform in Gb, 
ABI_SOLID, 7949.63, 7949.63, 0, 
ILLUMINA, 18722.51, 18939.23, 216.720000000001, 
total, 26672.14, 26888.87, 216.73, 


Center in Gb, 
BCM, 10571.39, 10571.39, 0, 
BGI, 5529.07, 5529.07, 0, 
BI, 6913.88, 7130.60, 216.72, 
WUGSC, 3657.80, 3657.80, 0, 
total, 26672.14, 26888.87, 216.73, 


