Category, old, new, diff
Date, 20130218, 20130305, 20130306, 

# Accessions, 18438, 18653, 215, 

# Samples, 1696, 1791, 95, 

# Samples greater than 10Gb, 1640, 1735, 95, 

Population in Gb, 
ACB, 1711.45, 1818.66, 107.21, 
ASW, 1180.01, 1227.40, 47.3900000000001, 
BEB, 968.30, 968.30, 0, 
CDX, 1519.37, 1519.37, 0, 
CEU, 1240.73, 1368.96, 128.23, 
CHB, 578.27, 812.56, 234.29, 
CHS, 1612.79, 1612.79, 0, 
CLM, 1560.02, 1609.77, 49.75, 
ESN, 1588.18, 1588.18, 0, 
FIN, 1259.11, 1352.18, 93.0700000000002, 
GBR, 1634.10, 1825.24, 191.14, 
GIH, 1556.19, 1659.48, 103.29, 
GWD, 3014.09, 3034.65, 20.5599999999999, 
IBS, 1773.84, 1982.79, 208.95, 
ITU, 752.05, 752.05, 0, 
JPT, 1785.99, 2020.60, 234.61, 
KHV, 1993.75, 2334.34, 340.59, 
LWK, 1815.56, 2009.33, 193.77, 
MSL, 1636.72, 1636.72, 0, 
MXL, 1282.63, 1334.13, 51.5, 
PEL, 1471.80, 1751.72, 279.92, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1791.31, 1791.31, 0, 
STU, 924.82, 924.82, 0, 
TSI, 264.66, 264.66, 0, 
YRI, 1215.83, 1352.75, 136.92, 
total, 37234.69, 39655.85, 2421.16, 


Platform in Gb, 
ILLUMINA, 37234.69, 39655.85, 2421.16, 
total, 37234.69, 39655.85, 2421.16, 


Center in Gb, 
BCM, 466.72, 2621.38, 2154.66, 
BGI, 5257.41, 5257.41, 0, 
BI, 13772.63, 13793.19, 20.5600000000013, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 1396.05, 1642.00, 245.95, 
SC, 11067.71, 11067.71, 0, 
WUGSC, 3760.84, 3760.84, 0, 
total, 37234.69, 39655.85, 2421.16, 


