Category, old, new, diff
Date, 20101123, 20110124, 20110211, 

# Accessions, 9477, 14081, 4604, 

# Samples, 1094, 1167, 73, 

# Samples greater than 10Gb, 1082, 1151, 69, 

Population in Gb, 
ASW, 1590.10, 1590.10, 0, 
CEU, 1649.45, 2486.92, 837.47, 
CHB, 1896.34, 1923.92, 27.5800000000002, 
CHS, 1618.77, 1618.77, 0, 
CLM, 1581.00, 1757.53, 176.53, 
FIN, 1747.10, 1885.70, 138.6, 
GBR, 1961.20, 2029.73, 68.53, 
IBS, 456.93, 665.57, 208.64, 
JPT, 2403.91, 2607.58, 203.67, 
LWK, 2251.11, 2324.29, 73.1799999999998, 
MXL, 1634.64, 1671.68, 37.04, 
PUR, 1256.24, 1485.60, 229.36, 
TSI, 1432.81, 1434.48, 1.67000000000007, 
YRI, 1956.21, 2226.07, 269.86, 
total, 23435.82, 25707.94, 2272.12, 


Platform in Gb, 
ABI_SOLID, 5783.96, 7320.84, 1536.88, 
ILLUMINA, 17505.37, 18198.24, 692.870000000003, 
LS454, 146.49, 188.86, 42.37, 
total, 23435.82, 25707.94, 2272.12, 


Center in Gb, 
454MSC, 47.84, 54.86, 7.02, 
ABI, , 290.09, 290.09, 
BCM, 4304.58, 5132.61, 828.03, 
BGI, 4238.30, 4253.83, 15.5299999999997, 
BI, 5490.48, 5961.24, 470.76, 
ILLUMINA, 707.09, 707.09, 0, 
MPIMG, 1459.94, 1807.78, 347.84, 
SC, 5245.73, 5362.88, 117.150000000001, 
WUGSC, 1941.87, 2137.57, 195.7, 
total, 23435.82, 25707.94, 2272.12, 


