Category, old, new, diff
Date, 20130325, 20130402, 20130402, 

# Accessions, 17212, 18779, 1567, 

# Samples, 1824, 2041, 217, 

# Samples greater than 5Gb, 1775, 1880, 105, 

# Samples gt 5Gb by pop, 
ACB, 77, 77, 0, 
ASW, 57, 58, 1, 
BEB, , 1, 1, 
CDX, 93, 93, 0, 
CEU, 97, 97, 0, 
CHB, 98, 100, 2, 
CHS, 106, 107, 1, 
CLM, 67, 67, 0, 
ESN, 38, 38, 0, 
FIN, 90, 90, 0, 
GBR, 98, 98, 0, 
GIH, 101, 101, 0, 
GWD, 70, 79, 9, 
IBS, 100, 104, 4, 
ITU, , 5, 5, 
JPT, 96, 96, 0, 
KHV, 99, 99, 0, 
LWK, 54, 57, 3, 
MSL, 27, 28, 1, 
MXL, 62, 62, 0, 
PEL, 68, 71, 3, 
PJL, 30, 44, 14, 
PUR, 70, 73, 3, 
STU, , 55, 55, 
TSI, 84, 85, 1, 
YRI, 93, 95, 2, 
total, 1775, 1880, 105, 


Population in Gb, 
ACB, 771.84, 783.07, 11.23, 
ASW, 611.27, 621.28, 10.01, 
BEB, , 39.87, 39.87, 
CDX, 986.10, 986.10, 0, 
CEU, 1044.92, 1044.92, 0, 
CHB, 1035.76, 1058.12, 22.3599999999999, 
CHS, 1011.51, 1021.92, 10.41, 
CLM, 580.44, 580.44, 0, 
ESN, 270.71, 291.75, 21.04, 
FIN, 864.35, 867.87, 3.51999999999998, 
GBR, 1028.89, 1028.89, 0, 
GIH, 932.78, 932.78, 0, 
GWD, 631.95, 753.50, 121.55, 
IBS, 1175.13, 1202.72, 27.5899999999999, 
ITU, , 86.39, 86.39, 
JPT, 1145.15, 1148.60, 3.44999999999982, 
KHV, 1332.16, 1336.33, 4.16999999999985, 
LWK, 538.84, 556.96, 18.12, 
MSL, 231.02, 279.01, 47.99, 
MXL, 601.09, 601.09, 0, 
PEL, 894.05, 924.44, 30.3900000000001, 
PJL, 227.87, 364.27, 136.4, 
PUR, 983.63, 1050.66, 67.0300000000001, 
STU, , 383.88, 383.88, 
TSI, 892.70, 904.84, 12.14, 
YRI, 1147.07, 1185.07, 38, 
total, 18939.23, 20034.74, 1095.51, 


Platform in Gb, 
ILLUMINA, 18939.23, 20034.74, 1095.51, 
total, 18939.23, 20034.74, 1095.51, 


Center in Gb, 
BCM, 2621.76, 2621.76, 0, 
BGI, 5529.07, 5529.07, 0, 
BI, 7130.60, 7596.11, 465.509999999999, 
WUGSC, 3657.80, 4287.81, 630.01, 
total, 18939.23, 20034.74, 1095.51, 


