Category, old, new, diff
Date, 20130311, 20130319, 20130319, 

# Accessions, 16541, 16513, -28, 

# Samples, 1772, 1783, 11, 

# Samples greater than 10Gb, 748, 748, 0, 

# Samples greater than 5Gb, 1736, 1744, 8, 

# Samples gt 10Gb by pop, 
ACB, 22, 22, 0, 
ASW, 16, 16, 0, 
CDX, 64, 64, 0, 
CEU, 50, 50, 0, 
CHB, 50, 50, 0, 
CHS, 35, 35, 0, 
CLM, 21, 21, 0, 
ESN, 1, 1, 0, 
FIN, 30, 30, 0, 
GBR, 47, 47, 0, 
GIH, 23, 23, 0, 
GWD, 3, 3, 0, 
IBS, 46, 46, 0, 
JPT, 58, 58, 0, 
KHV, 49, 49, 0, 
LWK, 18, 18, 0, 
MSL, 1, 1, 0, 
MXL, 20, 20, 0, 
PEL, 31, 31, 0, 
PUR, 59, 59, 0, 
TSI, 40, 40, 0, 
YRI, 64, 64, 0, 
total, 748, 748, 0, 


# Samples gt 5Gb by pop, 
ACB, 75, 77, 2, 
ASW, 57, 57, 0, 
CDX, 93, 93, 0, 
CEU, 98, 97, -1, 
CHB, 98, 98, 0, 
CHS, 106, 106, 0, 
CLM, 67, 67, 0, 
ESN, 20, 20, 0, 
FIN, 90, 90, 0, 
GBR, 97, 98, 1, 
GIH, 98, 101, 3, 
GWD, 70, 70, 0, 
IBS, 97, 100, 3, 
JPT, 96, 96, 0, 
KHV, 98, 99, 1, 
LWK, 55, 54, -1, 
MSL, 14, 14, 0, 
MXL, 62, 62, 0, 
PEL, 68, 68, 0, 
PJL, 30, 30, 0, 
PUR, 70, 70, 0, 
TSI, 85, 84, -1, 
YRI, 92, 93, 1, 
total, 1736, 1744, 8, 


Population in Gb, 
ACB, 759.01, 771.84, 12.83, 
ASW, 611.27, 611.27, 0, 
CDX, 986.10, 986.10, 0, 
CEU, 1051.81, 1044.92, -6.88999999999987, 
CHB, 1035.76, 1035.76, 0, 
CHS, 1011.51, 1011.51, 0, 
CLM, 580.44, 580.44, 0, 
ESN, 166.20, 166.20, 0, 
FIN, 866.19, 864.35, -1.84000000000003, 
GBR, 1032.71, 1028.89, -3.81999999999994, 
GIH, 912.80, 932.78, 19.98, 
GWD, 631.95, 631.95, 0, 
IBS, 1155.33, 1175.13, 19.8000000000002, 
JPT, 1141.00, 1145.15, 4.15000000000009, 
KHV, 1323.81, 1332.16, 8.35000000000014, 
LWK, 544.34, 538.84, -5.5, 
MSL, 118.81, 118.81, 0, 
MXL, 601.09, 601.09, 0, 
PEL, 894.05, 894.05, 0, 
PJL, 227.87, 227.87, 0, 
PUR, 983.63, 983.63, 0, 
TSI, 899.12, 892.70, -6.41999999999996, 
YRI, 1141.93, 1147.07, 5.13999999999987, 
total, 18676.73, 18722.51, 45.7799999999988, 


Platform in Gb, 
ILLUMINA, 18676.73, 18722.51, 45.7799999999988, 
total, 18676.73, 18722.51, 45.7799999999988, 


Center in Gb, 
BCM, 2562.45, 2621.76, 59.3100000000004, 
BGI, 5529.07, 5529.07, 0, 
BI, 6927.41, 6913.88, -13.5299999999997, 
WUGSC, 3657.80, 3657.80, 0, 
total, 18676.73, 18722.51, 45.7799999999988, 


