Category, old, new, diff
Date, 20110920, 20111114, 20111114, 

# Accessions, 10405, 10789, 384, 

# Samples, 1319, 1449, 130, 

# Samples greater than 10Gb, 1292, 1414, 122, 

Population in Gb, 
ACB, 134.82, 414.61, 279.79, 
ASW, 1592.71, 1676.39, 83.6800000000001, 
CDX, 1520.83, 1740.73, 219.9, 
CEU, 1776.27, 1822.63, 46.3600000000001, 
CHB, 2033.51, 2033.51, 0, 
CHS, 1638.89, 1638.89, 0, 
CLM, 1348.45, 1708.29, 359.84, 
FIN, 1934.08, 1956.38, 22.3000000000002, 
GBR, 2193.30, 2249.86, 56.5599999999999, 
GIH, 40.37, 343.70, 303.33, 
IBS, 1218.28, 1574.42, 356.14, 
JPT, 2750.22, 2968.83, 218.61, 
KHV, 619.88, 1288.24, 668.36, 
LWK, 2367.70, 2367.70, 0, 
MXL, 1731.72, 1745.23, 13.51, 
PEL, 223.29, 788.76, 565.47, 
PUR, 1638.74, 1772.49, 133.75, 
TSI, 1509.84, 1509.84, 0, 
YRI, 2203.22, 2433.98, 230.76, 
total, 28476.11, 32034.48, 3558.37, 


Platform in Gb, 
ABI_SOLID, 7159.01, 7461.49, 302.48, 
ILLUMINA, 21130.05, 24385.94, 3255.89, 
LS454, 187.06, 187.06, 0, 
total, 28476.11, 32034.48, 3558.37, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 4822.97, 4822.97, 0, 
BGI, 7310.91, 7687.41, 376.5, 
BI, 6203.82, 6445.68, 241.860000000001, 
ILLUMINA, 852.67, 852.67, 0, 
MPIMG, 1983.19, 1983.19, 0, 
SC, 4942.43, 5899.78, 957.349999999999, 
WUGSC, 2299.51, 4282.15, 1982.64, 
total, 28476.11, 32034.48, 3558.37, 


