Category, old, new, diff
Date, 20130319, 20130325, 20130325, 

# Accessions, 31419, 32024, 605, 

# Samples, 2192, 2204, 12, 

# Samples greater than 10Gb, 2180, 2192, 12, 


# Samples gt 10Gb by pop, 
ACB, 87, 87, 0, 
ASW, 61, 61, 0, 
BEB, 49, 61, 12, 
CDX, 98, 98, 0, 
CEU, 101, 101, 0, 
CHB, 100, 100, 0, 
CHS, 112, 112, 0, 
CLM, 80, 80, 0, 
ESN, 64, 64, 0, 
FIN, 99, 99, 0, 
GBR, 100, 100, 0, 
GIH, 99, 99, 0, 
GWD, 105, 105, 0, 
IBS, 99, 99, 0, 
ITU, 39, 39, 0, 
JPT, 98, 98, 0, 
KHV, 100, 100, 0, 
LWK, 107, 107, 0, 
MSL, 68, 68, 0, 
MXL, 71, 71, 0, 
PEL, 80, 80, 0, 
PJL, 37, 37, 0, 
PUR, 78, 78, 0, 
STU, 49, 49, 0, 
TSI, 101, 101, 0, 
YRI, 98, 98, 0, 
total, 2180, 2192, 12, 




Population in Gb, 
ACB, 2664.12, 2697.78, 33.6600000000003, 
ASW, 1865.01, 1865.01, 0, 
BEB, 968.30, 1465.63, 497.33, 
CDX, 1784.54, 1784.54, 0, 
CEU, 3547.04, 3555.43, 8.38999999999987, 
CHB, 2515.87, 2538.51, 22.6400000000003, 
CHS, 2042.20, 2044.27, 2.06999999999994, 
CLM, 2438.83, 2465.65, 26.8200000000002, 
ESN, 1588.36, 1588.36, 0, 
FIN, 2361.97, 2386.88, 24.9100000000003, 
GBR, 2908.58, 2909.63, 1.05000000000018, 
GIH, 2835.64, 2901.82, 66.1800000000003, 
GWD, 3034.65, 3034.65, 0, 
IBS, 3007.88, 3007.88, 0, 
ITU, 752.05, 752.05, 0, 
JPT, 3768.18, 3794.48, 26.3000000000002, 
KHV, 3349.73, 3374.56, 24.8299999999999, 
LWK, 3103.29, 3103.29, 0, 
MSL, 1636.72, 1636.72, 0, 
MXL, 2022.44, 2022.44, 0, 
PEL, 2674.09, 2674.09, 0, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1874.03, 1874.03, 0, 
STU, 924.82, 924.82, 0, 
TSI, 3055.80, 3161.61, 105.81, 
YRI, 3414.12, 3634.86, 220.74, 
total, 61241.35, 62302.09, 1060.74, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 49486.52, 50547.25, 1060.73, 
LS454, 187.06, 187.06, 0, 
total, 61241.35, 62302.09, 1060.74, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 12479.57, 12701.19, 221.620000000001, 
BGI, 7723.97, 7723.97, 0, 
BI, 14246.38, 14922.77, 676.390000000001, 
ILLUMINA, 1599.96, 1599.96, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 4707.12, 4707.12, 0, 
SC, 16207.78, 16370.51, 162.73, 
WUGSC, 4180.01, 4180.01, 0, 
mpimg, 17.65, 17.65, 0, 
total, 61241.35, 62302.09, 1060.74, 
