Category, old, new, diff
Date, 20130325, 20130402, 20130402, 

# Accessions, 25026, 26245, 1219, 

# Samples, 2049, 2199, 150, 

# Samples greater than 10Gb, 2003, 2137, 134, 

# Samples gt 10Gb by pop, 
ACB, 82, 86, 4, 
ASW, 59, 59, 0, 
BEB, 61, 79, 18, 
CDX, 85, 90, 5, 
CEU, 87, 93, 6, 
CHB, 49, 53, 4, 
CHS, 82, 82, 0, 
CLM, 78, 86, 8, 
ESN, 64, 80, 16, 
FIN, 85, 87, 2, 
GBR, 83, 86, 3, 
GIH, 93, 93, 0, 
GWD, 105, 107, 2, 
IBS, 97, 97, 0, 
ITU, 39, 45, 6, 
JPT, 97, 97, 0, 
KHV, 95, 96, 1, 
LWK, 104, 107, 3, 
MSL, 68, 74, 6, 
MXL, 68, 69, 1, 
PEL, 74, 75, 1, 
PJL, 37, 46, 9, 
PUR, 74, 78, 4, 
STU, 49, 84, 35, 
TSI, 98, 98, 0, 
YRI, 90, 90, 0, 
total, 2003, 2137, 134, 


Population in Gb, 
ACB, 2026.72, 2096.77, 70.05, 
ASW, 1364.73, 1364.73, 0, 
BEB, 1465.63, 1786.09, 320.46, 
CDX, 1560.07, 1664.35, 104.28, 
CEU, 2241.84, 2499.49, 257.65, 
CHB, 1050.89, 1130.59, 79.6999999999998, 
CHS, 1629.84, 1629.84, 0, 
CLM, 1778.09, 1902.33, 124.24, 
ESN, 1588.18, 1911.33, 323.15, 
FIN, 1489.88, 1523.35, 33.4699999999998, 
GBR, 1916.43, 1962.48, 46.05, 
GIH, 1923.61, 1923.61, 0, 
GWD, 3034.65, 3062.62, 27.9699999999998, 
IBS, 2034.50, 2034.50, 0, 
ITU, 752.05, 869.34, 117.29, 
JPT, 2521.71, 2538.44, 16.73, 
KHV, 2414.18, 2432.06, 17.8800000000001, 
LWK, 2244.30, 2350.04, 105.74, 
MSL, 1636.72, 1779.38, 142.66, 
MXL, 1480.36, 1494.19, 13.8300000000002, 
PEL, 1829.68, 1843.45, 13.77, 
PJL, 1103.10, 1259.44, 156.34, 
PUR, 1791.31, 1902.46, 111.15, 
STU, 924.82, 1551.05, 626.23, 
TSI, 2083.97, 2083.97, 0, 
YRI, 2131.72, 2131.72, 0, 
total, 46018.98, 48727.60, 2708.62, 


Platform in Gb, 
ILLUMINA, 46018.98, 48727.60, 2708.62, 
total, 46018.98, 48727.60, 2708.62, 


Center in Gb, 
BCM, 4417.15, 4417.15, 0, 
BGI, 5257.41, 5257.41, 0, 
BI, 14491.44, 15533.87, 1042.43, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 2122.19, 2122.19, 0, 
SC, 14456.62, 14456.62, 0, 
WUGSC, 3760.84, 5427.03, 1666.19, 
total, 46018.98, 48727.60, 2708.62, 


