Category, old, new, diff
Date, 20130402, 20130408, 20130408, 

# Accessions, 26245, 29325, 3080, 

# Samples, 2199, 2501, 302, 

# Samples greater than 10Gb, 2137, 2479, 342, 

# Samples gt 10Gb by pop, 
ACB, 86, 96, 10, 
ASW, 59, 59, 0, 
BEB, 79, 87, 8, 
CDX, 90, 104, 14, 
CEU, 93, 93, 0, 
CHB, 53, 55, 2, 
CHS, 82, 110, 28, 
CLM, 86, 101, 15, 
ESN, 80, 100, 20, 
FIN, 87, 101, 14, 
GBR, 86, 103, 17, 
GIH, 93, 94, 1, 
GWD, 107, 118, 11, 
IBS, 97, 107, 10, 
ITU, 45, 91, 46, 
JPT, 97, 99, 2, 
KHV, 96, 103, 7, 
LWK, 107, 107, 0, 
MSL, 74, 92, 18, 
MXL, 69, 70, 1, 
PEL, 75, 89, 14, 
PJL, 46, 100, 54, 
PUR, 78, 104, 26, 
STU, 84, 100, 16, 
TSI, 98, 100, 2, 
YRI, 90, 96, 6, 
total, 2137, 2479, 342, 


Population in Gb, 
ACB, 2096.77, 2356.93, 260.16, 
ASW, 1364.73, 1364.73, 0, 
BEB, 1786.09, 1906.42, 120.33, 
CDX, 1664.35, 1975.08, 310.73, 
CEU, 2499.49, 2499.49, 0, 
CHB, 1130.59, 1158.14, 27.5500000000002, 
CHS, 1629.84, 2309.16, 679.32, 
CLM, 1902.33, 2271.38, 369.05, 
ESN, 1911.33, 2296.99, 385.66, 
FIN, 1523.35, 1935.64, 412.29, 
GBR, 1962.48, 2474.04, 511.56, 
GIH, 1923.61, 1938.10, 14.49, 
GWD, 3062.62, 3317.02, 254.4, 
IBS, 2034.50, 2257.96, 223.46, 
ITU, 869.34, 2152.72, 1283.38, 
JPT, 2538.44, 2554.93, 16.4899999999998, 
KHV, 2432.06, 2624.31, 192.25, 
LWK, 2350.04, 2350.04, 0, 
MSL, 1779.38, 2097.12, 317.74, 
MXL, 1494.19, 1508.49, 14.3, 
PEL, 1843.45, 2180.15, 336.7, 
PJL, 1259.44, 2381.78, 1122.34, 
PUR, 1902.46, 2577.78, 675.32, 
STU, 1551.05, 2505.69, 954.64, 
TSI, 2083.97, 2114.53, 30.5600000000004, 
YRI, 2131.72, 2236.27, 104.55, 
total, 48727.60, 57344.87, 8617.27, 


Platform in Gb, 
ILLUMINA, 48727.60, 57344.87, 8617.27, 
total, 48727.60, 57344.87, 8617.27, 


Center in Gb, 
BCM, 4417.15, 4417.15, 0, 
BGI, 5257.41, 10257.32, 4999.91, 
BI, 15533.87, 17562.25, 2028.38, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 2122.19, 2122.19, 0, 
SC, 14456.62, 14456.62, 0, 
WUGSC, 5427.03, 7016.01, 1588.98, 
total, 48727.60, 57344.87, 8617.27, 


