Category, old, new, diff
Date, 20130422, 20130502, 20130503, 

# Accessions, 21772, 21772, 0, 

# Samples, 2680, 2680, 0, 

# Samples greater than 5Gb, 2594, 2594, 0, 

# Samples gt 5Gb by pop, 
ACB, 92, 92, 0, 
ASW, 68, 68, 0, 
BEB, 89, 89, 0, 
CDX, 103, 103, 0, 
CEU, 97, 97, 0, 
CHB, 106, 106, 0, 
CHS, 108, 108, 0, 
CLM, 102, 102, 0, 
ESN, 109, 109, 0, 
FIN, 95, 95, 0, 
GBR, 101, 101, 0, 
GIH, 107, 107, 0, 
GWD, 109, 109, 0, 
IBS, 108, 108, 0, 
ITU, 111, 111, 0, 
JPT, 102, 102, 0, 
KHV, 101, 101, 0, 
LWK, 99, 99, 0, 
MSL, 92, 92, 0, 
MXL, 69, 69, 0, 
PEL, 90, 90, 0, 
PJL, 105, 105, 0, 
PUR, 106, 106, 0, 
STU, 107, 107, 0, 
TSI, 109, 109, 0, 
YRI, 109, 109, 0, 
total, 2594, 2594, 0, 


Population in Gb, 
ACB, 948.21, 948.21, 0, 
ASW, 724.26, 724.26, 0, 
BEB, 1015.37, 1015.37, 0, 
CDX, 1084.68, 1084.68, 0, 
CEU, 1053.72, 1053.72, 0, 
CHB, 1096.51, 1096.51, 0, 
CHS, 1026.08, 1026.08, 0, 
CLM, 987.32, 987.32, 0, 
ESN, 1124.30, 1124.30, 0, 
FIN, 910.40, 910.40, 0, 
GBR, 1051.41, 1051.41, 0, 
GIH, 1014.70, 1014.70, 0, 
GWD, 1111.28, 1111.28, 0, 
IBS, 1245.38, 1245.38, 0, 
ITU, 1057.12, 1057.12, 0, 
JPT, 1227.81, 1227.81, 0, 
KHV, 1380.02, 1380.02, 0, 
LWK, 896.55, 896.55, 0, 
MSL, 989.84, 989.84, 0, 
MXL, 663.31, 663.31, 0, 
PEL, 1101.98, 1101.98, 0, 
PJL, 1041.09, 1041.09, 0, 
PUR, 1330.80, 1330.80, 0, 
STU, 1014.35, 1014.35, 0, 
TSI, 1115.87, 1115.87, 0, 
YRI, 1344.87, 1344.87, 0, 
total, 27557.24, 27557.24, 0, 


Platform in Gb, 
ILLUMINA, 27557.24, 27557.24, 0, 
total, 27557.24, 27557.24, 0, 


Center in Gb, 
BCM, 3105.52, 3105.52, 0, 
BGI, 10823.32, 10823.32, 0, 
BI, 8192.81, 8192.81, 0, 
WUGSC, 5435.58, 5435.58, 0, 
total, 27557.24, 27557.24, 0, 


