Category, old, new, diff
Date, 20130311, 20130319, 20130319, 

# Accessions, 18672, 24407, 5735, 

# Samples, 1809, 2025, 216, 

# Samples greater than 10Gb, 1754, 1978, 224, 

# Samples greater than 5Gb, 1809, 2025, 216, 

# Samples gt 10Gb by pop, 
ACB, 70, 81, 11, 
ASW, 54, 59, 5, 
BEB, 49, 49, 0, 
CDX, 82, 85, 3, 
CEU, 62, 87, 25, 
CHB, 42, 49, 7, 
CHS, 82, 82, 0, 
CLM, 71, 77, 6, 
ESN, 64, 64, 0, 
FIN, 80, 84, 4, 
GBR, 80, 83, 3, 
GIH, 82, 90, 8, 
GWD, 105, 105, 0, 
IBS, 94, 97, 3, 
ITU, 39, 39, 0, 
JPT, 76, 97, 21, 
KHV, 93, 94, 1, 
LWK, 95, 104, 9, 
MSL, 68, 68, 0, 
MXL, 62, 68, 6, 
PEL, 72, 74, 2, 
PJL, 37, 37, 0, 
PUR, 74, 74, 0, 
STU, 49, 49, 0, 
TSI, 14, 98, 84, 
YRI, 58, 84, 26, 
total, 1754, 1978, 224, 


# Samples gt 5Gb by pop, 
ACB, 74, 82, 8, 
ASW, 54, 59, 5, 
BEB, 50, 50, 0, 
CDX, 84, 87, 3, 
CEU, 65, 90, 25, 
CHB, 47, 54, 7, 
CHS, 98, 98, 0, 
CLM, 71, 77, 6, 
ESN, 64, 64, 0, 
FIN, 84, 87, 3, 
GBR, 88, 90, 2, 
GIH, 84, 92, 8, 
GWD, 105, 105, 0, 
IBS, 95, 98, 3, 
ITU, 39, 39, 0, 
JPT, 77, 98, 21, 
KHV, 93, 94, 1, 
LWK, 96, 104, 8, 
MSL, 68, 68, 0, 
MXL, 62, 68, 6, 
PEL, 72, 74, 2, 
PJL, 37, 37, 0, 
PUR, 74, 74, 0, 
STU, 49, 49, 0, 
TSI, 18, 100, 82, 
YRI, 61, 87, 26, 
total, 1809, 2025, 216, 


Population in Gb, 
ACB, 1818.66, 1993.05, 174.39, 
ASW, 1227.40, 1364.73, 137.33, 
BEB, 968.30, 968.30, 0, 
CDX, 1519.37, 1560.07, 40.7, 
CEU, 1622.10, 2233.45, 611.35, 
CHB, 858.70, 1028.25, 169.55, 
CHS, 1612.79, 1627.77, 14.98, 
CLM, 1609.77, 1751.26, 141.49, 
ESN, 1588.18, 1588.18, 0, 
FIN, 1352.18, 1464.97, 112.79, 
GBR, 1825.24, 1915.38, 90.1400000000001, 
GIH, 1659.48, 1857.43, 197.95, 
GWD, 3034.65, 3034.65, 0, 
IBS, 1982.79, 2034.50, 51.71, 
ITU, 752.05, 752.05, 0, 
JPT, 2066.17, 2495.42, 429.25, 
KHV, 2358.39, 2389.35, 30.96, 
LWK, 2009.33, 2244.30, 234.97, 
MSL, 1636.72, 1636.72, 0, 
MXL, 1334.13, 1480.36, 146.23, 
PEL, 1773.32, 1829.68, 56.3600000000001, 
PJL, 1103.10, 1103.10, 0, 
PUR, 1791.31, 1791.31, 0, 
STU, 924.82, 924.82, 0, 
TSI, 264.66, 1978.16, 1713.5, 
YRI, 1397.58, 1889.13, 491.55, 
total, 40091.17, 44936.39, 4845.22, 


Platform in Gb, 
ILLUMINA, 40091.17, 44936.39, 4845.22, 
total, 40091.17, 44936.39, 4845.22, 


Center in Gb, 
BCM, 2621.38, 4195.54, 1574.16, 
BGI, 5257.41, 5257.41, 0, 
BI, 13793.19, 13793.19, 0, 
ILLUMINA, 1495.04, 1495.04, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 2077.32, 2122.19, 44.8699999999999, 
SC, 11067.71, 14293.90, 3226.19, 
WUGSC, 3760.84, 3760.84, 0, 
total, 40091.17, 44936.39, 4845.22, 


