Category, old, new, diff
Date, 20130408, 20130415, 20130415, 

# Accessions, 36299, 36878, 579, 

# Samples, 2590, 2694, 104, 

# Samples greater than 10Gb, 2570, 2688, 118, 

# Samples gt 10Gb by pop, 
ACB, 96, 98, 2, 
ASW, 61, 68, 7, 
BEB, 87, 101, 14, 
CDX, 106, 107, 1, 
CEU, 101, 101, 0, 
CHB, 106, 106, 0, 
CHS, 114, 114, 0, 
CLM, 103, 104, 1, 
ESN, 100, 109, 9, 
FIN, 102, 103, 1, 
GBR, 103, 103, 0, 
GIH, 100, 107, 7, 
GWD, 118, 119, 1, 
IBS, 107, 107, 0, 
ITU, 91, 112, 21, 
JPT, 100, 105, 5, 
KHV, 103, 103, 0, 
LWK, 110, 115, 5, 
MSL, 92, 98, 6, 
MXL, 73, 73, 0, 
PEL, 90, 91, 1, 
PJL, 100, 107, 7, 
PUR, 104, 105, 1, 
STU, 100, 111, 11, 
TSI, 103, 111, 8, 
YRI, 100, 110, 10, 
total, 2570, 2688, 118, 


Population in Gb, 
ACB, 3028.00, 3182.04, 154.04, 
ASW, 1865.01, 2016.64, 151.63, 
BEB, 1906.42, 2299.26, 392.84, 
CDX, 2199.55, 2222.08, 22.5299999999997, 
CEU, 3797.20, 3806.17, 8.97000000000025, 
CHB, 2645.76, 3891.11, 1245.35, 
CHS, 2694.11, 2758.95, 64.8399999999997, 
CLM, 2958.94, 2981.12, 22.1799999999998, 
ESN, 2297.17, 2562.10, 264.93, 
FIN, 2807.29, 2851.18, 43.8899999999999, 
GBR, 3431.04, 3431.04, 0, 
GIH, 2916.31, 3234.31, 318, 
GWD, 3317.02, 3366.35, 49.3299999999999, 
IBS, 3231.34, 3231.34, 0, 
ITU, 2168.95, 2686.00, 517.05, 
JPT, 3827.69, 3983.62, 155.93, 
KHV, 3584.68, 3643.64, 58.96, 
LWK, 3209.03, 3330.06, 121.03, 
MSL, 2097.12, 2311.55, 214.43, 
MXL, 2050.57, 2050.57, 0, 
PEL, 3024.56, 3055.01, 30.4500000000003, 
PJL, 2397.23, 2639.28, 242.05, 
PUR, 2666.70, 2775.46, 108.76, 
STU, 2513.04, 2836.21, 323.17, 
TSI, 3192.17, 3373.65, 181.48, 
YRI, 3731.86, 3973.49, 241.63, 
total, 73558.74, 78492.26, 4933.51999999999, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 61803.91, 66737.42, 4933.50999999999, 
LS454, 187.06, 187.06, 0, 
total, 73558.74, 78492.26, 4933.51999999999, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 12701.19, 12701.19, 0, 
BGI, 12632.85, 16504.71, 3871.86, 
BI, 17977.71, 18391.91, 414.200000000001, 
ILLUMINA, 1599.96, 2049.49, 449.53, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 4707.12, 4707.12, 0, 
SC, 16370.51, 16370.51, 0, 
WUGSC, 7472.86, 7670.78, 197.92, 
mpimg, 17.65, 17.65, 0, 
total, 73558.74, 78492.26, 4933.51999999999, 


