Category, old, new, diff
Date, 20121211, 20130218, 20130220, 

# Accessions, 15952, 16070, 118, 

# Samples, 1396, 1400, 4, 

# Samples greater than 10Gb, 740, 740, 0, 

Population in Gb, 
ACB, 633.68, 633.68, 0, 
ASW, 569.41, 569.41, 0, 
CDX, 860.85, 860.85, 0, 
CEU, 825.12, 825.12, 0, 
CHB, 845.39, 845.39, 0, 
CHS, 954.87, 955.53, 0.659999999999968, 
CLM, 442.28, 442.28, 0, 
ESN, 158.00, 166.20, 8.19999999999999, 
FIN, 746.11, 746.11, 0, 
GBR, 833.55, 833.55, 0, 
GIH, 782.19, 782.84, 0.649999999999977, 
GWD, 575.57, 606.30, 30.7299999999999, 
IBS, 883.85, 883.85, 0, 
JPT, 975.94, 975.94, 0, 
KHV, 1135.29, 1135.29, 0, 
LWK, 380.03, 380.03, 0, 
MSL, 118.48, 118.81, 0.329999999999998, 
MXL, 580.06, 580.06, 0, 
PEL, 752.85, 752.85, 0, 
PJL, 224.95, 227.87, 2.92000000000002, 
PUR, 983.63, 983.63, 0, 
TSI, 726.76, 726.76, 0, 
YRI, 1056.28, 1056.28, 0, 
total, 16045.15, 16088.64, 43.4899999999998, 


Platform in Gb, 
ILLUMINA, 16045.15, 16088.64, 43.4899999999998, 
total, 16045.15, 16088.64, 43.4899999999998, 


Center in Gb, 
BGI, 5529.07, 5529.07, 0, 
BI, 6858.28, 6901.76, 43.4800000000005, 
WUGSC, 3657.80, 3657.80, 0, 
total, 16045.15, 16088.64, 43.4899999999998, 


