Category, old, new, diff
Date, 20130402, 20130408, 20130408, 

# Accessions, 33263, 36299, 3036, 

# Samples, 2377, 2590, 213, 

# Samples greater than 10Gb, 2322, 2570, 248, 

# Samples gt 10Gb by pop, 
ACB, 91, 96, 5, 
ASW, 61, 61, 0, 
BEB, 79, 87, 8, 
CDX, 103, 106, 3, 
CEU, 101, 101, 0, 
CHB, 104, 106, 2, 
CHS, 112, 114, 2, 
CLM, 88, 103, 15, 
ESN, 80, 100, 20, 
FIN, 101, 102, 1, 
GBR, 103, 103, 0, 
GIH, 99, 100, 1, 
GWD, 107, 118, 11, 
IBS, 99, 107, 8, 
ITU, 45, 91, 46, 
JPT, 100, 100, 0, 
KHV, 101, 103, 2, 
LWK, 110, 110, 0, 
MSL, 74, 92, 18, 
MXL, 72, 73, 1, 
PEL, 81, 90, 9, 
PJL, 46, 100, 54, 
PUR, 82, 104, 22, 
STU, 84, 100, 16, 
TSI, 101, 103, 2, 
YRI, 98, 100, 2, 
total, 2322, 2570, 248, 


Population in Gb, 
ACB, 2767.83, 3028.00, 260.17, 
ASW, 1865.01, 1865.01, 0, 
BEB, 1786.09, 1906.42, 120.33, 
CDX, 1888.83, 2199.55, 310.72, 
CEU, 3797.20, 3797.20, 0, 
CHB, 2618.21, 2645.76, 27.5500000000002, 
CHS, 2044.27, 2694.11, 649.84, 
CLM, 2597.38, 2958.94, 361.56, 
ESN, 1925.86, 2297.17, 371.31, 
FIN, 2420.35, 2807.29, 386.94, 
GBR, 2955.67, 3431.04, 475.37, 
GIH, 2909.19, 2916.31, 7.11999999999989, 
GWD, 3069.75, 3317.02, 247.27, 
IBS, 3007.88, 3231.34, 223.46, 
ITU, 930.61, 2168.95, 1238.34, 
JPT, 3811.20, 3827.69, 16.4900000000002, 
KHV, 3400.44, 3584.68, 184.24, 
LWK, 3209.03, 3209.03, 0, 
MSL, 1794.26, 2097.12, 302.86, 
MXL, 2043.43, 2050.57, 7.1400000000001, 
PEL, 2687.86, 3024.56, 336.7, 
PJL, 1313.90, 2397.23, 1083.33, 
PUR, 2007.15, 2666.70, 659.55, 
STU, 1551.05, 2513.04, 961.99, 
TSI, 3161.61, 3192.17, 30.5599999999999, 
YRI, 3634.86, 3731.86, 97, 
total, 65198.94, 73558.74, 8359.8, 


Platform in Gb, 
ABI_SOLID, 11567.78, 11567.78, 0, 
ILLUMINA, 53444.11, 61803.91, 8359.8, 
LS454, 187.06, 187.06, 0, 
total, 65198.94, 73558.74, 8359.8, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 12701.19, 12701.19, 0, 
BGI, 7723.97, 12632.85, 4908.88, 
BI, 15949.33, 17977.71, 2028.38, 
ILLUMINA, 1599.96, 1599.96, 0, 
Illumina, 18.28, 18.28, 0, 
MPIMG, 4707.12, 4707.12, 0, 
SC, 16370.51, 16370.51, 0, 
WUGSC, 6050.31, 7472.86, 1422.55, 
mpimg, 17.65, 17.65, 0, 
total, 65198.94, 73558.74, 8359.8, 


