Category, old, new, diff
Date, 20130415, 20130422, 20130422, 

# Accessions, 20882, 21772, 890, 

# Samples, 2577, 2680, 103, 

# Samples greater than 5Gb, 2506, 2594, 88, 

# Samples gt 5Gb by pop, 
ACB, 92, 92, 0, 
ASW, 65, 68, 3, 
BEB, 82, 89, 7, 
CDX, 101, 103, 2, 
CEU, 97, 97, 0, 
CHB, 106, 106, 0, 
CHS, 108, 108, 0, 
CLM, 102, 102, 0, 
ESN, 109, 109, 0, 
FIN, 95, 95, 0, 
GBR, 101, 101, 0, 
GIH, 107, 107, 0, 
GWD, 109, 109, 0, 
IBS, 108, 108, 0, 
ITU, 111, 111, 0, 
JPT, 101, 102, 1, 
KHV, 100, 101, 1, 
LWK, 62, 99, 37, 
MSL, 91, 92, 1, 
MXL, 64, 69, 5, 
PEL, 84, 90, 6, 
PJL, 101, 105, 4, 
PUR, 105, 106, 1, 
STU, 107, 107, 0, 
TSI, 95, 109, 14, 
YRI, 103, 109, 6, 
total, 2506, 2594, 88, 


Population in Gb, 
ACB, 948.21, 948.21, 0, 
ASW, 706.55, 724.26, 17.71, 
BEB, 919.82, 1015.37, 95.55, 
CDX, 1073.93, 1084.68, 10.75, 
CEU, 1053.72, 1053.72, 0, 
CHB, 1096.51, 1096.51, 0, 
CHS, 1026.08, 1026.08, 0, 
CLM, 987.32, 987.32, 0, 
ESN, 1122.77, 1124.30, 1.52999999999997, 
FIN, 910.40, 910.40, 0, 
GBR, 1051.41, 1051.41, 0, 
GIH, 1014.70, 1014.70, 0, 
GWD, 1111.28, 1111.28, 0, 
IBS, 1245.38, 1245.38, 0, 
ITU, 1056.80, 1057.12, 0.319999999999936, 
JPT, 1222.05, 1227.81, 5.75999999999999, 
KHV, 1342.15, 1380.02, 37.8699999999999, 
LWK, 628.65, 896.55, 267.9, 
MSL, 987.81, 989.84, 2.03000000000009, 
MXL, 623.31, 663.31, 40, 
PEL, 1065.41, 1101.98, 36.5699999999999, 
PJL, 1016.07, 1041.09, 25.0199999999999, 
PUR, 1293.98, 1330.80, 36.8199999999999, 
STU, 1011.69, 1014.35, 2.65999999999997, 
TSI, 1013.29, 1115.87, 102.58, 
YRI, 1295.05, 1344.87, 49.8199999999999, 
total, 26824.36, 27557.24, 732.880000000001, 


Platform in Gb, 
ILLUMINA, 26824.36, 27557.24, 732.880000000001, 
total, 26824.36, 27557.24, 732.880000000001, 


Center in Gb, 
BCM, 2621.76, 3105.52, 483.76, 
BGI, 10823.32, 10823.32, 0, 
BI, 7943.70, 8192.81, 249.11, 
WUGSC, 5435.58, 5435.58, 0, 
total, 26824.36, 27557.24, 732.880000000001, 


