Category, old, new, diff
Date, 20130422, 20130502, 20130503, 

# Accessions, 22777, 22777, 0, 

# Samples, 2707, 2707, 0, 

# Samples greater than 5Gb, 2649, 2649, 0, 

# Samples gt 5Gb by pop, 
ACB, 94, 94, 0, 
ASW, 70, 70, 0, 
BEB, 89, 89, 0, 
CDX, 108, 108, 0, 
CEU, 102, 102, 0, 
CHB, 108, 108, 0, 
CHS, 110, 110, 0, 
CLM, 103, 103, 0, 
ESN, 109, 109, 0, 
FIN, 98, 98, 0, 
GBR, 102, 102, 0, 
GIH, 109, 109, 0, 
GWD, 109, 109, 0, 
IBS, 108, 108, 0, 
ITU, 111, 111, 0, 
JPT, 105, 105, 0, 
KHV, 102, 102, 0, 
LWK, 115, 115, 0, 
MSL, 92, 92, 0, 
MXL, 73, 73, 0, 
PEL, 92, 92, 0, 
PJL, 105, 105, 0, 
PUR, 106, 106, 0, 
STU, 107, 107, 0, 
TSI, 112, 112, 0, 
YRI, 110, 110, 0, 
total, 2649, 2649, 0, 


Population in Gb, 
ACB, 1333.84, 1333.84, 0, 
ASW, 901.90, 901.90, 0, 
BEB, 1015.37, 1015.37, 0, 
CDX, 1449.43, 1449.43, 0, 
CEU, 1624.86, 1624.86, 0, 
CHB, 1510.01, 1510.01, 0, 
CHS, 1182.13, 1182.13, 0, 
CLM, 1304.45, 1304.45, 0, 
ESN, 1124.30, 1124.30, 0, 
FIN, 1199.79, 1199.79, 0, 
GBR, 1531.71, 1531.71, 0, 
GIH, 1430.64, 1430.64, 0, 
GWD, 1111.28, 1111.28, 0, 
IBS, 2035.55, 2035.55, 0, 
ITU, 1057.12, 1057.12, 0, 
JPT, 1604.29, 1604.29, 0, 
KHV, 1845.06, 1845.06, 0, 
LWK, 2080.16, 2080.16, 0, 
MSL, 989.84, 989.84, 0, 
MXL, 842.35, 842.35, 0, 
PEL, 1575.93, 1575.93, 0, 
PJL, 1041.50, 1041.50, 0, 
PUR, 1330.80, 1330.80, 0, 
STU, 1014.35, 1014.35, 0, 
TSI, 1720.77, 1720.77, 0, 
YRI, 1649.85, 1649.85, 0, 
total, 35507.28, 35507.28, 0, 


Platform in Gb, 
ABI_SOLID, 7949.63, 7949.63, 0, 
ILLUMINA, 27557.64, 27557.64, 0, 
total, 35507.28, 35507.28, 0, 


Center in Gb, 
BCM, 11055.16, 11055.16, 0, 
BGI, 10823.73, 10823.73, 0, 
BI, 8192.81, 8192.81, 0, 
WUGSC, 5435.58, 5435.58, 0, 
total, 35507.28, 35507.28, 0, 


