Category, old, new, diff
Date, 20110719, 20110920, 20111010, 

# Accessions, 10202, 10405, 203, 

# Samples, 1185, 1319, 134, 

# Samples greater than 10Gb, 1158, 1292, 134, 

Population in Gb, 
ACB, , 134.82, 134.82, 
ASW, 1592.71, 1592.71, 0, 
CDX, 82.04, 1520.83, 1438.79, 
CEU, 1776.27, 1776.27, 0, 
CHB, 2033.51, 2033.51, 0, 
CHS, 1638.89, 1638.89, 0, 
CLM, 1708.20, 1348.45, -359.75, 
FIN, 1934.08, 1934.08, 0, 
GBR, 2169.41, 2193.30, 23.89, 
GIH, , 40.37, 40.37, 
IBS, 925.62, 1218.28, 292.66, 
JPT, 2750.22, 2750.22, 0, 
KHV, , 619.88, 619.88, 
LWK, 2367.70, 2367.70, 0, 
MXL, 1731.72, 1731.72, 0, 
PEL, , 223.29, 223.29, 
PUR, 1638.74, 1638.74, 0, 
TSI, 1509.84, 1509.84, 0, 
YRI, 2203.22, 2203.22, 0, 
total, 26062.17, 28476.11, 2413.94, 


Platform in Gb, 
ABI_SOLID, 6876.19, 7159.01, 282.82, 
ILLUMINA, 18998.92, 21130.05, 2131.13, 
LS454, 187.06, 187.06, 0, 
total, 26062.17, 28476.11, 2413.94, 


Center in Gb, 
454MSC, 60.62, 60.62, 0, 
BCM, 4822.97, 4822.97, 0, 
BGI, 4485.86, 7310.91, 2825.05, 
BI, 6203.82, 6203.82, 0, 
ILLUMINA, 852.67, 852.67, 0, 
MPIMG, 2034.53, 1983.19, -51.34, 
SC, 5302.18, 4942.43, -359.75, 
WUGSC, 2299.51, 2299.51, 0, 
total, 26062.17, 28476.11, 2413.94, 


